Int.M1	InterSp
Int.M2	InterSp
Int.M3	InterSp
Int.M4	InterSp
Int.M5	InterSp
Dune.M1	DuneSp
Dune.M2	DuneSp
Dune.M3	DuneSp
Dune.M4	DuneSp
Dune.M5	DuneSp
Tidal.M1	TidalSp
Tidal.M2	TidalSp
Tidal.M3	TidalSp
Tidal.M4	TidalSp
Tidal.M5	TidalSp
Tidal.A1	TidalS
Tidal.A2	TidalS
Tidal.A3	TidalS
Tidal.A4	TidalS
Tidal.A5	TidalS
Dune.A1	DuneS
Dune.A2	DuneS
Dune.A3	DuneS
Dune.A4	DuneS
Dune.A5	DuneS
Int.A1	InterS
Int.A2	InterS
Int.A3	InterS
Int.A4	InterS
Dune.N1	DuneW
Dune.N2	DuneW
Dune.N3	DuneW
Dune.N4	DuneW
Dune.N5	DuneW
Tidal.N1	TidalW
Tidal.N2	TidalW
Tidal.N3	TidalW
Tidal.N4	TidalW
Tidal.N5	TidalW
Int.N1	InterW
Int.N2	InterW
Int.N3	InterW
Int.N4	InterW
